Constituency No.,Constituency Name,Candidate Name,Party,Votes,Status,Margin
30,GOALPOKHAR,SUNIL BISWAS,Bahujan Samaj Party,708,lost,-121397
30,GOALPOKHAR,ZAMALUDDIN,All India Forward Bloc,679,lost,-121426
30,GOALPOKHAR,MD. NAZIR AKHTAR,All India Majlis-E-Inquilab-E-Millat,545,lost,-121560
30,GOALPOKHAR,RAGHU NATH SINGHA,Independent,448,lost,-121657
30,GOALPOKHAR,TOWHID AHMED KHAN,Aam Janata Unnayan party,287,lost,-121818
30,GOALPOKHAR,NABIN  CHANDRA SINGHA,Socialist Unity Centre Of India (COMMUNIST),223,lost,-121882
30,GOALPOKHAR,NOTA,None of the Above,934,,-121171
31,CHAKULIA,AZAD MINHAJUL ARFIN,All India Trinamool Congress,90277,won,+ 28011
31,CHAKULIA,MANOJ KUMAR JAIN,Bharatiya Janata Party,62266,lost,-28011
31,CHAKULIA,ALI IMRAN RAMZ,Indian National Congress,40346,lost,-49931
31,CHAKULIA,MD. YAMIN AKHTAR,Independent,917,lost,-89360
31,CHAKULIA,MOHAFEJUL ISLAM,All India Forward Bloc,842,lost,-89435
31,CHAKULIA,GOUTAM PAUL,Bahujan Samaj Party,826,lost,-89451
31,CHAKULIA,MD MOSA,Independent,483,lost,-89794
31,CHAKULIA,MD TAUQUIR RAZA,Independent,401,lost,-89876
31,CHAKULIA,MD SAIFUDDIN,Independent,337,lost,-89940
31,CHAKULIA,MD ASLAM,Independent,177,lost,-90100
31,CHAKULIA,ABAI DULLAH,Socialist Unity Centre Of India (COMMUNIST),155,lost,-90122
31,CHAKULIA,MD FEROZ AKHTAR,Aam Janata Unnayan party,142,lost,-90135
31,CHAKULIA,SUKHEN KUMAR SINGHA,North Bengal People's Party,135,lost,-90142
31,CHAKULIA,ABUL KASHIM,Independent,97,lost,-90180
31,CHAKULIA,NOTA,None of the Above,1724,,-88553
32,KARANDIGHI,BIRAJ BISWAS,Bharatiya Janata Party,96260,won,+ 19869
32,KARANDIGHI,GOUTAM PAUL,All India Trinamool Congress,76391,lost,-19869
32,KARANDIGHI,MD. SAHABUDDIN,Communist Party of India (Marxist),39414,lost,-56846
32,KARANDIGHI,MURSID ALAM,Indian National Congress,1599,lost,-94661
32,KARANDIGHI,SK. MOHAMMAD ALAM,Independent,1042,lost,-95218
32,KARANDIGHI,NIROD BANDHU BISWAS,Bahujan Samaj Party,764,lost,-95496
32,KARANDIGHI,RAMESH  CHANDRA SINHA,Independent,711,lost,-95549
32,KARANDIGHI,BIRAJ BISWAS,Independent,532,lost,-95728
32,KARANDIGHI,MD. SAHABUDDIN,Independent,369,lost,-95891
32,KARANDIGHI,HASIB REJA,Independent,364,lost,-95896
32,KARANDIGHI,MD. FARUQUE  HOSSAIN,Independent,228,lost,-96032
32,KARANDIGHI,ANANDA SINGHA,Independent,206,lost,-96054
32,KARANDIGHI,GAUTAM PAL,Independent,160,lost,-96100
32,KARANDIGHI,SUSHANTA KUMAR SINHA,Socialist Unity Centre Of India (COMMUNIST),155,lost,-96105
32,KARANDIGHI,BAHAMONI HANSDA,Independent,131,lost,-96129
32,KARANDIGHI,NOTA,None of the Above,1647,,-94613
33,HEMTABAD,HARIPADA BARMAN,Bharatiya Janata Party,115529,won,+ 12361
33,HEMTABAD,SATYAJIT BARMAN,All India Trinamool Congress,103168,lost,-12361
33,HEMTABAD,ANAMIKA ROY,Indian National Congress,9587,lost,-105942
33,HEMTABAD,TANUSHREE DAS,Communist Party of India (Marxist),5017,lost,-110512
33,HEMTABAD,DULAL CHANDRA SARKAR,Independent,1191,lost,-114338
33,HEMTABAD,BIKASH MONDAL,Independent,1046,lost,-114483
33,HEMTABAD,DIPANKAR ROY,Aam Janata Unnayan party,661,lost,-114868
33,HEMTABAD,HAREKRISHNA BARMAN,Independent,656,lost,-114873
33,HEMTABAD,ALAKESH BARMAN,Bahujan Samaj Party,515,lost,-115014
33,HEMTABAD,HARI BARMAN,Independent,452,lost,-115077
33,HEMTABAD,INDRANIL BISWAS,Independent,304,lost,-115225
33,HEMTABAD,MANINDRA BARMAN,Amra Bangalee,252,lost,-115277
33,HEMTABAD,PRABODH KUMAR SARKAR,Socialist Unity Centre Of India (COMMUNIST),237,lost,-115292
33,HEMTABAD,NOTA,None of the Above,757,,-114772
34,KALIAGANJ,UTPAL BRAHMACHARO,Bharatiya Janata Party,158349,won,+ 76425
34,KALIAGANJ,NITAI BAISHYA,All India Trinamool Congress,81924,lost,-76425
34,KALIAGANJ,HIRU ROY SARKAR,Communist Party of India (Marxist),5779,lost,-152570
34,KALIAGANJ,GIRIDHARI PRAMANIK,Indian National Congress,4747,lost,-153602
34,KALIAGANJ,MINTU BARMAN,Independent,1293,lost,-157056
34,KALIAGANJ,SANJIB ROY,Independent,763,lost,-157586
34,KALIAGANJ,DHARANIKANTA SARKAR,Independent,708,lost,-157641
34,KALIAGANJ,BASUDEB DEBSHARMA,Bahujan Samaj Party,698,lost,-157651
34,KALIAGANJ,PANNA CHOWHAN,Independent,405,lost,-157944
34,KALIAGANJ,ANJAY DEBSARMA,Aam Janata Unnayan party,190,lost,-158159
34,KALIAGANJ,UTTAM BARMAN,Independent,133,lost,-158216
34,KALIAGANJ,DHULESH SARKAR,Socialist Unity Centre Of India (COMMUNIST),127,lost,-158222
34,KALIAGANJ,AJAY CHOUHAN,Independent,116,lost,-158233
34,KALIAGANJ,NOTA,None of the Above,2993,,-155356
35,RAIGANJ,KOUSHIK CHOWDHURY,Bharatiya Janata Party,105561,won,+ 58641
35,RAIGANJ,KRISHNA KALYANI,All India Trinamool Congress,46920,lost,-58641
35,RAIGANJ,MOHIT SENGUPTA,Indian National Congress,4386,lost,-101175
35,RAIGANJ,JIBANANDA SINGHA,Communist Party of India (Marxist),3787,lost,-101774
35,RAIGANJ,SABINAY DAS,Independent,1372,lost,-104189
35,RAIGANJ,MD. RAFIK ALAM,Independent,303,lost,-105258
35,RAIGANJ,MANTU KUMAR MANDAL,Bahujan Samaj Party,151,lost,-105410
35,RAIGANJ,DWARIK NATH BARMAN,Independent,141,lost,-105420
35,RAIGANJ,FAKIRA MD,Independent,129,lost,-105432
35,RAIGANJ,MADHABILATA PAUL,Socialist Unity Centre Of India (COMMUNIST),116,lost,-105445
35,RAIGANJ,GOUTAM BISWAS,Amra Bangalee,83,lost,-105478
35,RAIGANJ,SAPRATIVE CHAKRABORTY,North Bengal People's Party,81,lost,-105480
35,RAIGANJ,MANJUR ALAM,Aam Janata Unnayan party,73,lost,-105488
35,RAIGANJ,ANWARUL HOQUE,Independent,47,lost,-105514
35,RAIGANJ,NOTA,None of the Above,1654,,-103907
36,ITAHAR,MOSARAF HUSSEN,All India Trinamool Congress,98172,won,+ 27878
36,ITAHAR,SABITA BARMAN,Bharatiya Janata Party,70294,lost,-27878
36,ITAHAR,AMAL ACHARJEE,Indian National Congress,28045,lost,-70127
36,ITAHAR,UTPAL DAS,Communist Party of India,3015,lost,-95157
36,ITAHAR,SWAPAN KUMAR RAY,Independent,1289,lost,-96883
36,ITAHAR,SAHANAWAZ ALI,Independent,991,lost,-97181
36,ITAHAR,MOSARAF HOSSAIN,Independent,661,lost,-97511
36,ITAHAR,MOHASIN ALI,Independent,296,lost,-97876
36,ITAHAR,MAHATAB ALI,Independent,155,lost,-98017
36,ITAHAR,TAPAN KUMAR DAS,Socialist Unity Centre Of India (COMMUNIST),131,lost,-98041
36,ITAHAR,FIROJ ALAM,Aam Janata Unnayan party,118,lost,-98054
36,ITAHAR,SAIDUR RAHAMAN,Bhumiputra United Party,88,lost,-98084
36,ITAHAR,TUFAN BARAMAN,Independent,78,lost,-98094
36,ITAHAR,DILIP KUMAR BARMAN,Independent,68,lost,-98104
36,ITAHAR,KHITAN BARMAN,Independent,59,lost,-98113
36,ITAHAR,NOTA,None of the Above,699,,-97473
37,KUSHMANDI,TAPAS CHANDRA ROY,Bharatiya Janata Party,97437,won,+ 9063
37,KUSHMANDI,REKHA ROY,All India Trinamool Congress,88374,lost,-9063
37,KUSHMANDI,JYOTIRMOY ROY,Revolutionary Socialist Party,6861,lost,-90576
37,KUSHMANDI,BABLU SARKAR,Indian National Congress,2645,lost,-94792
37,KUSHMANDI,PARESH ADHIKARI,Independent,1167,lost,-96270
37,KUSHMANDI,JUGAL BISWAS,Independent,603,lost,-96834
37,KUSHMANDI,NIROD CANDRA ROY,Independent,494,lost,-96943
37,KUSHMANDI,KANSHA ROY,Independent,361,lost,-97076
37,KUSHMANDI,NOTA,None of the Above,1584,,-95853
38,KUMARGANJ,TORAF HOSSAIN MANDAL,All India Trinamool Congress,82791,won,+ 6685
38,KUMARGANJ,SUBHENDU SARKAR,Bharatiya Janata Party,76106,lost,-6685
38,KUMARGANJ,MOFAZZAL HOSSAIN,Communist Party of India (Marxist),10149,lost,-72642
38,KUMARGANJ,GOLAM MORTUJA MONDAL,Indian National Congress,1404,lost,-81387
38,KUMARGANJ,BIPUL TUDU,Bahujan Samaj Party,916,lost,-81875
38,KUMARGANJ,RANJIT DEV,Socialist Unity Centre Of India (COMMUNIST),724,lost,-82067
38,KUMARGANJ,RUHUL AMIN HAQUE,Independent,539,lost,-82252
38,KUMARGANJ,CHARLESH KISKU,Independent,451,lost,-82340
38,KUMARGANJ,NOTA,None of the Above,789,,-82002
39,BALURGHAT,BIDYUT KUMAR ROY,Bharatiya Janata Party,95697,won,+ 47576
39,BALURGHAT,ARPITA GHOSH,All India Trinamool Congress,48121,lost,-47576
39,BALURGHAT,ARNAB CHOWDHURY,Revolutionary Socialist Party,8593,lost,-87104
39,BALURGHAT,PRADIP KUMAR MITRA,Indian National Congress,1648,lost,-94049
39,BALURGHAT,JOGESH CHANDRA MURMU,Bahujan Samaj Party,629,lost,-95068
39,BALURGHAT,MITHUN BARMAN,Independent,512,lost,-95185
39,BALURGHAT,SUSHIL MARDI,Independent,460,lost,-95237
39,BALURGHAT,NAMITA MAHANTA (POLI),Socialist Unity Centre Of India (COMMUNIST),299,lost,-95398
39,BALURGHAT,PRADYUT KUMAR SAHA,Independent,290,lost,-95407
39,BALURGHAT,DIPANKAR BARMAN,Independent,194,lost,-95503
39,BALURGHAT,DULAL BARMAN,Independent,175,lost,-95522
39,BALURGHAT,MASUMA KHATUN,Aam Janata Unnayan party,122,lost,-95575
39,BALURGHAT,NAROTTAM SAHA,Amra Bangalee,112,lost,-95585
39,BALURGHAT,NOTA,None of the Above,1444,,-94253
40,TAPAN,BUDHRAI TUDU,Bharatiya Janata Party,105780,won,+ 36987
40,TAPAN,CHINTAMANI BIHA,All India Trinamool Congress,68793,lost,-36987
40,TAPAN,BAPPAI HORO,Revolutionary Socialist Party,5940,lost,-99840
40,TAPAN,BANKIM CHANDRA TOPPO,Indian National Congress,1616,lost,-104164
40,TAPAN,JYOTI KUJUR,Bahujan Samaj Party,922,lost,-104858
40,TAPAN,ARJUN MARDI,Independent,453,lost,-105327
40,TAPAN,SUKANTA KISKU,Independent,428,lost,-105352
40,TAPAN,AVIJIT BASKEY,Independent,400,lost,-105380
40,TAPAN,BIKASH NONA,Socialist Unity Centre Of India (COMMUNIST),336,lost,-105444
40,TAPAN,BRIJESH HEMBRAM,Independent,328,lost,-105452
40,TAPAN,MANUEL HANSADA,Aam Janata Unnayan party,265,lost,-105515
40,TAPAN,NOTA,None of the Above,1441,,-104339
41,GANGARAMPUR,SATYENDRA NATH ROY,Bharatiya Janata Party,105083,won,+ 28339
41,GANGARAMPUR,Goutam Das,All India Trinamool Congress,76744,lost,-28339
41,GANGARAMPUR,BIPLAB BARMAN,Communist Party of India (Marxist),5991,lost,-99092
41,GANGARAMPUR,JUI BARMAN,Indian National Congress,1570,lost,-103513
41,GANGARAMPUR,JATINDRA NATH BARMAN,Bahujan Samaj Party,611,lost,-104472
41,GANGARAMPUR,SADHAN BISWAS,Independent,569,lost,-104514
41,GANGARAMPUR,AMRITA BARMAN,Socialist Unity Centre Of India (COMMUNIST),530,lost,-104553
41,GANGARAMPUR,TARUN RAY,Independent,287,lost,-104796
41,GANGARAMPUR,NOTA,None of the Above,1438,,-103645
42,HARIRAMPUR,BIPLAB MITRA,All India Trinamool Congress,93098,won,+ 1986
42,HARIRAMPUR,DEBABRATA MAJUMDER,Bharatiya Janata Party,91112,lost,-1986
42,HARIRAMPUR,SUBHASISH PAL (SONA),Indian National Congress,8462,lost,-84636
42,HARIRAMPUR,GAUTAM GOSWAMI,Communist Party of India (Marxist),6254,lost,-86844
42,HARIRAMPUR,MIHIR CHANDRA RAY,Independent,1205,lost,-91893
42,HARIRAMPUR,RAMKRISHNA MAHATO,Independent,997,lost,-92101
42,HARIRAMPUR,PRADEEP HANSDA,Ambedkarite Party of India,757,lost,-92341
42,HARIRAMPUR,BHOLANATH SARKAR,Independent,492,lost,-92606
42,HARIRAMPUR,AHIDUR RAHAMAN,Aam Janata Unnayan party,430,lost,-92668
42,HARIRAMPUR,LALIT ORAWN,Socialist Unity Centre Of India (COMMUNIST),254,lost,-92844
42,HARIRAMPUR,NOTA,None of the Above,1013,,-92085
43,HABIBPUR,JOYEL MURMU,Bharatiya Janata Party,142062,won,+ 78188
43,HABIBPUR,AMAL KISKU,All India Trinamool Congress,63874,lost,-78188
43,HABIBPUR,BASUDEV MURMU,Communist Party of India (Marxist),8725,lost,-133337
43,HABIBPUR,BABURAM KISKU,Independent,4579,lost,-137483
43,HABIBPUR,RAJEN SOREN,Indian National Congress,2490,lost,-139572
43,HABIBPUR,MANJLA MARDI,Independent,1245,lost,-140817
43,HABIBPUR,LAKHIN HEMBROM,Independent,1235,lost,-140827
43,HABIBPUR,NICHOLAS SOREN,Kamatapur People's Party (United),570,lost,-141492
43,HABIBPUR,BABULAL HASDA,Aam Janata Unnayan party,385,lost,-141677
43,HABIBPUR,BIMAL MURMU,Socialist Unity Centre Of India (COMMUNIST),329,lost,-141733
43,HABIBPUR,NOTA,None of the Above,2119,,-139943
44,GAZOLE,CHINMOY DEB BARMAN,Bharatiya Janata Party,131541,won,+ 38192
44,GAZOLE,PRASENJIT DAS,All India Trinamool Congress,93349,lost,-38192
44,GAZOLE,KSHITISH CHANDRA SARKAR,Communist Party of India (Marxist),5949,lost,-125592
44,GAZOLE,PREM CHOWDHURY,Indian National Congress,5050,lost,-126491
44,GAZOLE,MIRANA SARKAR,Independent,1372,lost,-130169
44,GAZOLE,BIJOY KUMAR BISWAS,Independent,1321,lost,-130220
44,GAZOLE,SUSHIL CHANDRA BARMAN,Ambedkarite Party of India,1255,lost,-130286
44,GAZOLE,SUDIPTA ROY,Bahujan Samaj Party,583,lost,-130958
44,GAZOLE,MINOTI SARKAR,Mulnibasi Party of India,508,lost,-131033
44,GAZOLE,RATAN ROY,Aam Janata Unnayan party,402,lost,-131139
44,GAZOLE,SUPEN KUMAR ROY,Socialist Unity Centre Of India (COMMUNIST),379,lost,-131162
44,GAZOLE,CHANDAN MANDAL,Independent,377,lost,-131164
44,GAZOLE,UJJWAL BARMAN,Independent,306,lost,-131235
44,GAZOLE,NOTA,None of the Above,1493,,-130048
45,CHANCHAL,PRASUN BANERJEE,All India Trinamool Congress,128014,won,+ 63874
45,CHANCHAL,RATAN DAS,Bharatiya Janata Party,64140,lost,-63874
45,CHANCHAL,ASIF MEHBUB,Indian National Congress,16336,lost,-111678
45,CHANCHAL,ANWARUL HOQUE,Communist Party of India (Marxist),13522,lost,-114492
45,CHANCHAL,ANJARUL HOQUE,Independent,6619,lost,-121395
45,CHANCHAL,ABDUL KHALEQUE,Independent,988,lost,-127026
45,CHANCHAL,YOUNISH MIA,Bahujan Samaj Party,890,lost,-127124
45,CHANCHAL,MASTAR SHAHJAHAN ALI,Welfare Party Of India,711,lost,-127303
45,CHANCHAL,MD MASIUR RAHAMAN,Aam Janata Unnayan party,645,lost,-127369
45,CHANCHAL,JHANTU KUMAR RABIDAS,Socialist Unity Centre Of India (COMMUNIST),527,lost,-127487
45,CHANCHAL,MUNNA THAKUR,Independent,523,lost,-127491
45,CHANCHAL,ABDUL BARI,Independent,469,lost,-127545
45,CHANCHAL,BHAKTA PRASAD SAHA,Rastriya Aam Jan Seva Party,244,lost,-127770
45,CHANCHAL,NOTA,None of the Above,781,,-127233
46,HARISCHANDRAPUR,MD. MATIBUR RAHAMAN,All India Trinamool Congress,113104,won,+ 48271
46,HARISCHANDRAPUR,RATAN DAS,Bharatiya Janata Party,64833,lost,-48271
46,HARISCHANDRAPUR,MOSTAQUE ALAM,Indian National Congress,31431,lost,-81673
46,HARISCHANDRAPUR,SK KHALIL,Communist Party of India (Marxist),12786,lost,-100318
46,HARISCHANDRAPUR,BHUDEB DAS,Independent,1153,lost,-111951
46,HARISCHANDRAPUR,EFRAJUL HOQUE,Bahujan Samaj Party,749,lost,-112355
46,HARISCHANDRAPUR,PHATIK KUMAR DAS,Independent,709,lost,-112395
46,HARISCHANDRAPUR,MOHD. TAFAZZUL HAQUE,Aam Janata Unnayan party,354,lost,-112750
46,HARISCHANDRAPUR,MD OLIUR RAHAMAN,Rastriya Aam Jan Seva Party,327,lost,-112777
46,HARISCHANDRAPUR,MD. SERAJUDDIN,Independent,281,lost,-112823
46,HARISCHANDRAPUR,MUSARAF HOSSAIN,Socialist Unity Centre Of India (COMMUNIST),224,lost,-112880
46,HARISCHANDRAPUR,KISHOR SHARMA,Independent,194,lost,-112910
46,HARISCHANDRAPUR,NOTA,None of the Above,954,,-112150
47,MALATIPUR,ABDUR RAHIM BOXI,All India Trinamool Congress,104123,won,+ 59747
47,MALATIPUR,MAUSAM B NOOR,Indian National Congress,44376,lost,-59747
47,MALATIPUR,ASHIS DAS,Bharatiya Janata Party,43346,lost,-60777
47,MALATIPUR,MINARUL HOSEN,Communist Party of India (Marxist),6136,lost,-97987
47,MALATIPUR,PRADIP KUMAR DAS,Bahujan Samaj Party,929,lost,-103194
47,MALATIPUR,MD ABU TAHIR,Aam Janata Unnayan party,399,lost,-103724
47,MALATIPUR,SAMIM AKTAR,Independent,373,lost,-103750
47,MALATIPUR,AZIZUR RAHMAN,Rashtriya Secular Majlis Party,324,lost,-103799
47,MALATIPUR,MD. SELIM,Welfare Party Of India,312,lost,-103811
47,MALATIPUR,RAHUL SK,Independent,264,lost,-103859
47,MALATIPUR,NOTA,None of the Above,1453,,-102670
48,RATUA,SAMAR MUKHERJEE,All India Trinamool Congress,106834,won,+ 32562
48,RATUA,ABISHEK SINGHANIA,Bharatiya Janata Party,74272,lost,-32562
48,RATUA,ALAM MOTTAKIN,Indian National Congress,31525,lost,-75309
48,RATUA,JAHUR ALAM,Communist Party of India (Marxist),13026,lost,-93808
48,RATUA,LAKSHI NARAYAN CHOWDHURY,Independent,1190,lost,-105644
48,RATUA,MANTU MANDAL,Peoples Party of India (Democratic),1063,lost,-105771
48,RATUA,ARJUN MANDAL,Independent,872,lost,-105962
48,RATUA,LOPAMUDRA JHA,Independent,673,lost,-106161
48,RATUA,SOUTAM KR. SINGHA,Independent,481,lost,-106353
48,RATUA,ROYAL ISLAM,Aam Janata Unnayan party,474,lost,-106360
48,RATUA,BIKASH MANDAL,Independent,360,lost,-106474
48,RATUA,MD. SHARIFUL,Welfare Party Of India,324,lost,-106510
48,RATUA,NUR MOHAMMAD,Independent,312,lost,-106522
48,RATUA,MD SOHEL,Rashtriya Secular Majlis Party,285,lost,-106549
48,RATUA,NOTA,None of the Above,1447,,-105387
49,MANIKCHAK,GOUR CHANDRA MANDAL,Bharatiya Janata Party,110118,won,+ 13938
49,MANIKCHAK,KABITA MANDAL,All India Trinamool Congress,96180,lost,-13938
49,MANIKCHAK,ANSARUL HAQUE (KALU),Indian National Congress,9201,lost,-100917
49,MANIKCHAK,DEBAJYOTI SINHA (BABU),Communist Party of India (Marxist),6499,lost,-103619
49,MANIKCHAK,MD SARIFUL,Independent,1006,lost,-109112
49,MANIKCHAK,AMAL KUMAR RABIDAS,Independent,619,lost,-109499
49,MANIKCHAK,MD TOHIDUR RAHAMAN,Aam Janata Unnayan party,539,lost,-109579
49,MANIKCHAK,NOTA,None of the Above,1201,,-108917
50,MALDAHA,GOPAL CHANDRA SAHA,Bharatiya Janata Party,123656,won,+ 50128
50,MALDAHA,LIPIKA BARMAN GHOSH,All India Trinamool Congress,73528,lost,-50128
50,MALDAHA,BHUPENDRA NATH HALDER (ARJUN),Indian National Congress,12977,lost,-110679
50,MALDAHA,DIPAK BARMAN,Communist Party of India,2332,lost,-121324
50,MALDAHA,NITAI MANDAL,Independent,1955,lost,-121701
50,MALDAHA,SANTANU ROY,Independent,1464,lost,-122192
50,MALDAHA,HARIDAS KARMAKAR,Bahujan Samaj Party,852,lost,-122804
50,MALDAHA,SUMITRA SARKAR,Independent,659,lost,-122997
50,MALDAHA,MATINDRA NATH RAJBANSHI,Independent,459,lost,-123197
50,MALDAHA,KALYAN RAJBANSHI,Aam Janata Unnayan party,295,lost,-123361
50,MALDAHA,BASUDEB SARKAR,Socialist Unity Centre Of India (COMMUNIST),219,lost,-123437
50,MALDAHA,SURAJIT HALDER,Kamatapur People's Party (United),200,lost,-123456
50,MALDAHA,NOTA,None of the Above,2201,,-121455
51,ENGLISH BAZAR,AMLAN BHADURI (BURO),Bharatiya Janata Party,154096,won,+ 93784
51,ENGLISH BAZAR,ASIS KUNDU (PATA),All India Trinamool Congress,60312,lost,-93784
51,ENGLISH BAZAR,AMBAR MITRA,Communist Party of India (Marxist),7122,lost,-146974
51,ENGLISH BAZAR,ALAM MASUD,Indian National Congress,6929,lost,-147167
51,ENGLISH BAZAR,SAFIUL HOQUE,Independent,1402,lost,-152694
51,ENGLISH BAZAR,NITISH KUMAR MANDAL,Bahujan Samaj Party,749,lost,-153347
51,ENGLISH BAZAR,FIROJ RAHAMAN,Independent,727,lost,-153369
51,ENGLISH BAZAR,SANAT DUTTA,Independent,495,lost,-153601
51,ENGLISH BAZAR,NARESH PAL,Independent,312,lost,-153784
51,ENGLISH BAZAR,MD UNUSH ALI,Aam Janata Unnayan party,262,lost,-153834
51,ENGLISH BAZAR,GAUTAM SARKAR,Socialist Unity Centre Of India (COMMUNIST),218,lost,-153878
51,ENGLISH BAZAR,ASAMAY MANDAL,Independent,209,lost,-153887
51,ENGLISH BAZAR,NOTA,None of the Above,1727,,-152369
52,MOTHABARI,ISLAM MD NAJRUL,All India Trinamool Congress,65705,won,+ 10496
52,MOTHABARI,NIBARAN GHOSH,Bharatiya Janata Party,55209,lost,-10496
52,MOTHABARI,SAYEM CHOWDHURY (BABU),Indian National Congress,27451,lost,-38254
52,MOTHABARI,MO SAHAJAHAN ALI,All India Secular Front,9256,lost,-56449
52,MOTHABARI,ADVOCATE  MOSTAHID HAQUE,All India Majlis-E-Ittehadul Muslimeen,1935,lost,-63770
52,MOTHABARI,SHYAMAL KUMAR SAHA,Independent,571,lost,-65134
52,MOTHABARI,NIBARAN MANDAL,Independent,379,lost,-65326
52,MOTHABARI,PANKAJ CHANDRA MANDAL,Independent,344,lost,-65361
52,MOTHABARI,NOTA,None of the Above,1328,,-64377
53,SUJAPUR,SABINA YEASMIN,All India Trinamool Congress,112795,won,+ 60287
53,SUJAPUR,ABDUL HANNAN,Indian National Congress,52508,lost,-60287
53,SUJAPUR,MD. KARIMULLAH HAQUE,All India Secular Front,29026,lost,-83769
53,SUJAPUR,ABHIJIT RAJAK,Bharatiya Janata Party,20066,lost,-92729
53,SUJAPUR,MANIRUL ISLAM,All India Majlis-E-Ittehadul Muslimeen,4822,lost,-107973
53,SUJAPUR,MD IRAK AJAM,Independent,2229,lost,-110566
53,SUJAPUR,MD FARUQUE SEKH,Bahujan Samaj Party,1038,lost,-111757
53,SUJAPUR,MD JASIMUDDIN,Independent,933,lost,-111862
53,SUJAPUR,MD NASIRUL SK,Independent,879,lost,-111916
53,SUJAPUR,DEBANJAN PODDAR,Independent,681,lost,-112114
53,SUJAPUR,ABDUL HANNAN,Independent,593,lost,-112202
53,SUJAPUR,SABINA YASMIN,Jamat-E-Seratul Mustakim,209,lost,-112586
53,SUJAPUR,AKTAR SAMIM,Independent,208,lost,-112587
53,SUJAPUR,MD NAIMULLAH ANSARI,North Bengal People's Party,186,lost,-112609
53,SUJAPUR,NOTA,None of the Above,952,,-111843
54,BAISNABNAGAR,RAJU KARMAKAR,Bharatiya Janata Party,108692,won,+ 46881
54,BAISNABNAGAR,CHANDANA SARKAR,All India Trinamool Congress,61811,lost,-46881
54,BAISNABNAGAR,MAMUNI MANDAL,Indian National Congress,46450,lost,-62242
54,BAISNABNAGAR,MUZKERA BIBI,Aam Janata Unnayan party,1584,lost,-107108
54,BAISNABNAGAR,DUNDUBHI SAHA(PAPAN),Revolutionary Socialist Party,1027,lost,-107665
54,BAISNABNAGAR,NIKHIL CHANDRA MANDAL,Bahujan Samaj Party,820,lost,-107872
54,BAISNABNAGAR,MD ARIF CHOUDHURY,North Bengal People's Party,771,lost,-107921
54,BAISNABNAGAR,ANANDA GHOSH,Socialist Unity Centre Of India (COMMUNIST),767,lost,-107925
54,BAISNABNAGAR,NITYAGOPAL LALA,Independent,433,lost,-108259
54,BAISNABNAGAR,BISWAJIT MANDAL,Independent,399,lost,-108293
54,BAISNABNAGAR,MANJUR ALAHI MUNSHI,Bhartiya Rashtriya Dal,296,lost,-108396
54,BAISNABNAGAR,NOTA,None of the Above,1789,,-106903
55,FARAKKA,MOTAB SHAIKH,Indian National Congress,63050,won,+ 8193
55,FARAKKA,SUNIL CHOWDHURI,Bharatiya Janata Party,54857,lost,-8193
55,FARAKKA,AMIRUL ISLAM,All India Trinamool Congress,47256,lost,-15794
55,FARAKKA,MOZAFFAR HOSSAIN,Communist Party of India (Marxist),4177,lost,-58873
55,FARAKKA,SHASHANKA DAS,Independent,800,lost,-62250
55,FARAKKA,IMTIAZ AHMED MOLLAH,Aam Janata Unnayan party,781,lost,-62269
55,FARAKKA,NANDALAL GHOSH,Independent,695,lost,-62355
55,FARAKKA,AZMERUL SK,Rashtriya Secular Majlis Party,484,lost,-62566
55,FARAKKA,SULAIMAN SHAIKH,Independent,427,lost,-62623
55,FARAKKA,ALOK KUMAR MANDAL,Independent,217,lost,-62833
55,FARAKKA,ABDUL KADER,Independent,186,lost,-62864
55,FARAKKA,TILOTTAMA HALDAR,Bharatiya Nyay-Adhikar Raksha Party,128,lost,-62922
55,FARAKKA,NOTA,None of the Above,1783,,-61267
56,SAMSERGANJ,MOHAMMED NOOR ALAM,All India Trinamool Congress,61918,won,+ 7587
56,SAMSERGANJ,MD NAJME ALAM,Indian National Congress,54331,lost,-7587
56,SAMSERGANJ,SASTI CHARAN GHOSH,Bharatiya Janata Party,34522,lost,-27396
56,SAMSERGANJ,MOTAJUL ISLAM,Independent,830,lost,-61088
56,SAMSERGANJ,MD MERAJ SORIF,Rashtriya Secular Majlis Party,501,lost,-61417
56,SAMSERGANJ,MD. SELIM ANSARI,Independent,490,lost,-61428
56,SAMSERGANJ,MD. NAZIM SK,Independent,458,lost,-61460
56,SAMSERGANJ,RABIUL HOQUE,Socialist Unity Centre Of India (COMMUNIST),322,lost,-61596
56,SAMSERGANJ,ABDUL HAI,Independent,246,lost,-61672
56,SAMSERGANJ,ANUP BHASKAR,Independent,158,lost,-61760
56,SAMSERGANJ,NOTA,None of the Above,1654,,-60264
57,SUTI,EMANI BISWAS,All India Trinamool Congress,81330,won,+ 12357
57,SUTI,MAHABIR GHOSH,Bharatiya Janata Party,68973,lost,-12357
57,SUTI,ALFAJUDDIN BISWAS,Indian National Congress,61344,lost,-19986
57,SUTI,MD ZAID,All India Majlis-E-Ittehadul Muslimeen,2565,lost,-78765
57,SUTI,BADIRUL ISLAM,Independent,1365,lost,-79965
57,SUTI,MD SANAUL HOQUE,Independent,1212,lost,-80118
57,SUTI,A. K. M HASANUJJAMAN,Revolutionary Socialist Party,968,lost,-80362
