West Bengal 2026 — SIR & Adjudication Data by Assembly Constituency,,,,,,,,,,,,,
"Source: konkomaji/wb-election-2026-intelligence (GitHub, MIT License) — compiled from CEO West Bengal / ECI Adjudication Report, April 2026. Data as of ~10 Apr 2026.",,,,,,,,,,,,,
AC No.,Constituency,District,Phase,Electors 2021,Electors 2024,SIR Roll Total,SIR ? vs 2024,SIR ?%,Risk Flag,Under Adjudication,Found Eligible,SIR 27 lakh deletions,Eligible %
130,Patharpratima,South 24 Pgs,Phase 2 (29 Apr),"2,64,656","2,72,188","2,63,478","-8,710",-320.0%,—,"7,733","2,590","5,086",33.5%
131,Kakdwip,South 24 Pgs,Phase 2 (29 Apr),"2,48,609","2,61,682","2,50,607","-11,075",-423.0%,—,"7,915","1,525","6,238",19.3%
132,Sagar,South 24 Pgs,Phase 2 (29 Apr),"2,76,473","2,85,244","2,77,240","-8,004",-281.0%,—,"4,806","1,920","2,886",40.0%
133,Kulpi,South 24 Pgs,Phase 2 (29 Apr),"2,21,174","2,32,589","2,20,566","-12,023",-517.0%,—,"14,299","6,782","7,517",47.4%
134,Raidighi,South 24 Pgs,Phase 2 (29 Apr),"2,74,643","2,87,666","2,72,816","-14,850",-516.0%,—,"11,318","3,780","7,538",33.4%
135,Mandirbazar,South 24 Pgs,Phase 2 (29 Apr),"2,29,509","2,39,715","2,27,154","-12,561",-524.0%,—,"14,685","6,295","8,390",42.9%
136,Jaqynagar,South 24 Pgs,Phase 2 (29 Apr),"2,40,931","2,52,529","2,31,939","-20,590",-815.0%,—,"15,651","8,768","6,883",56.0%
137,Baruipur Purba,South 24 Pgs,Phase 2 (29 Apr),"2,66,785","2,85,456","2,52,026","-33,430",-1171.0%,—,"20,932","15,912","5,020",76.0%
138,Canning Paschim,South 24 Pgs,Phase 2 (29 Apr),"2,58,897","2,69,116","2,49,992","-19,124",-711.0%,—,"17,147","6,347","10,800",37.0%
139,Canning Purba,South 24 Pgs,Phase 2 (29 Apr),"2,63,608","2,76,280","2,57,817","-18,463",-668.0%,—,"32,941","21,757","11,176",66.0%
140,Baruipur Paschim,South 24 Pgs,Phase 2 (29 Apr),"2,55,184","2,75,871","2,38,999","-36,872",-1337.0%,—,"16,847","9,947","6,900",59.0%
141,Magrahat Purba,South 24 Pgs,Phase 2 (29 Apr),"2,42,276","2,52,070","2,37,808","-14,262",-566.0%,—,"19,656","13,052","6,604",66.4%
142,Magrahat Paschim,South 24 Pgs,Phase 2 (29 Apr),"2,30,547","2,39,029","2,26,778","-12,251",-513.0%,—,"26,908","14,028","12,874",52.1%
143,Diamond Harbour,South 24 Pgs,Phase 2 (29 Apr),"2,56,016","2,65,214","2,53,015","-12,199",-460.0%,—,"22,455","10,493","11,956",46.7%
144,Falta,South 24 Pgs,Phase 2 (29 Apr),"2,38,454","2,45,284","2,33,644","-11,640",-475.0%,—,"7,044","6,464",580,91.8%
145,Satgachia,South 24 Pgs,Phase 2 (29 Apr),"2,70,929","2,78,810","2,61,320","-17,490",-627.0%,—,"17,650","8,865","8,785",50.2%
146,Bishnupur(Sc),South 24 Pgs,Phase 2 (29 Apr),"2,78,838","2,91,211","2,72,720","-18,491",-635.0%,—,"14,322","8,972","5,350",62.6%
147,Sonarpur Dakshin,South 24 Pgs,Phase 2 (29 Apr),"2,90,246","2,98,767","2,67,911","-30,856",-1033.0%,? YES,"4,492","2,730","1,762",60.8%
148,Bhangore,South 24 Pgs,Phase 2 (29 Apr),"2,71,873","2,87,329","2,70,963","-16,366",-570.0%,—,"29,807","27,589","2,183",92.6%
149,Kasba,South 24 Pgs,Phase 2 (29 Apr),"3,07,332","3,17,894","2,65,003","-52,891",-1664.0%,? YES,"19,180","12,904","5,973",67.3%
150,Jadavpur,South 24 Pgs,Phase 2 (29 Apr),"3,02,342","3,06,713","2,56,136","-50,577",-1649.0%,? YES,"4,583","2,359","2,184",51.5%
151,Sonarpur Uttar,South 24 Pgs,Phase 2 (29 Apr),"3,01,070","3,16,588","2,85,347","-31,241",-987.0%,—,"9,897","5,624","4,273",56.8%
152,Tollygunj,South 24 Pgs,Phase 2 (29 Apr),"2,71,815","2,63,527","2,28,448","-35,079",-1331.0%,? YES,"4,144","1,751","2,393",42.3%
153,Behala Purba,South 24 Pgs,Phase 2 (29 Apr),"3,10,267","3,13,669","2,58,609","-55,060",-1755.0%,? YES,"9,103","4,055","4,737",44.5%
154,Behala Paschim,South 24 Pgs,Phase 2 (29 Apr),"3,15,438","3,18,301","2,65,168","-53,133",-1669.0%,? YES,"11,905","7,930","3,975",66.6%
155,Maheshtala,South 24 Pgs,Phase 2 (29 Apr),"2,71,868","2,77,441","2,47,741","-29,700",-1070.0%,—,"16,841","13,314","3,527",79.1%
156,Budge Budge,South 24 Pgs,Phase 2 (29 Apr),"2,57,805","2,61,771","2,38,392","-23,379",-893.0%,—,"22,690","11,976","10,703",52.8%
157,Metiaburuz,South 24 Pgs,Phase 2 (29 Apr),"2,56,835","2,61,821","2,24,227","-37,594",-1436.0%,—,"77,691","35,667","39,579",45.9%
158,Kolkata Port,Kolkata,Phase 2 (29 Apr),"2,36,675","2,38,851","1,79,735","-59,116",-2475.0%,? YES,"32,378","18,938","13,395",58.5%
